,exception_ban_type,ban_type_life_of_mother,ban_type_health,ban_type_rape_incest,rape_incest_law_enforcement,rape_incest_time_limit,lethal_fetal_anomoly,lethal_fetal_anomoly_time_limit,reasonable_medical_judgment,good_faith_clinical_judgment,good_faith_medical_judgment,none_stated
Alabama,total,1,1,0,0,0,1,0,1,0,0,0
Alaska,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,15-week,1,1,0,0,0,0,0,0,1,0,0
Arkansas,total,1,0,0,0,0,0,0,0,0,0,1
Arkansas,12-week,1,1,1,0,0,1,0,1,0,0,0
California,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,6-week,1,1,1,1,1,1,1,1,0,0,0
Georgia,6-week,1,1,1,1,1,1,0,1,0,0,0
Hawaii,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,total,1,0,1,1,0,0,0,0,0,1,0
Idaho,6-week,1,1,0,0,0,1,0,1,0,0,0
Illinois,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,total,1,1,1,0,1,1,1,,0,0,0
Iowa,6-week,1,1,1,1,1,1,1,1,0,0,0
Kansas,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,total,1,1,0,0,0,0,0,1,0,0,0
Kentucky,15-week,1,1,0,0,0,0,0,1,0,0,0
Louisiana,total,1,1,0,0,0,0,0,1,0,0,0
Louisiana,total,1,1,0,0,0,1,0,1,0,1,0
Maine,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,15-week,1,1,0,0,0,1,0,0,0,1,0
Mississippi,6-week,1,1,0,0,0,0,0,1,0,0,0
Mississippi,total,1,0,1,1,0,0,0,0,0,0,1
Missouri,total,1,1,0,0,0,0,0,1,0,0,0
Montana,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,12-week,1,1,0,0,0,0,0,1,0,0,0
Nevada,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,12-week,1,1,1,0,1,1,1,1,0,0,0
North Dakota,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,total,1,0,0,0,0,0,0,0,0,0,1
Oregon,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,6-week,1,1,1,1,1,1,0,1,0,0,0
South Dakota,total,1,0,0,0,0,0,0,1,0,0,0
Tennessee,total,1,1,0,0,0,0,0,1,0,0,0
Texas,total revised,1,0,0,0,0,0,0,0,0,0,1
Texas,6-week,1,0,0,0,0,0,0,0,0,0,1
Texas,total,1,0,0,0,0,0,0,1,0,0,0
Utah,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,total,1,1,1,1,1,1,0,1,0,0,0
Wisconsin,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,no ban in effect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA